"From Branch","To District","To City","Charge for 1st kg","Charge per additional 1kg"
"Colombo","Colombo","Sri Kathiresan Street","350","100.00"
"Colombo","Colombo","Thotalanga","350","100.00"
"Colombo","Colombo","Kosgas Junction","350","100.00"
"Colombo","Colombo","Nawagampura","350","100.00"
"Colombo","Colombo","bloemendhal","350","100.00"
"Colombo","Colombo","kotahena","350","100.00"
"Colombo","Colombo","kochchikade","350","100.00"
"Colombo","Colombo","Ramanathan Mawatha","350","100.00"
"Colombo","Colombo","Modara Street","350","100.00"
"Colombo","Colombo","Madampitiya","350","100.00"
"Colombo","Colombo","Samithpura","350","100.00"
"Colombo","Colombo","Aluthmawatha","350","100.00"
"Colombo","Colombo","Muthuwella Mawatha","350","100.00"
"Colombo","Colombo","Farm Road","350","100.00"
"Colombo","Colombo","Rajamalwatta Road","350","100.00"
"Colombo","Colombo","Walls Lane","350","100.00"
"Colombo","Colombo","modara","350","100.00"
"Colombo","Colombo","Akuregoda","400","100.00"
"Colombo","Colombo","Battaramulla","400","100.00"
"Colombo","Colombo","Gothatuwa","400","100.00"
"Colombo","Colombo","Hokandara","400","100.00"
"Colombo","Colombo","Kotte","400","100.00"
"Colombo","Colombo","Madiwela","400","100.00"
"Colombo","Colombo","Mulleriyawa New Town","400","100.00"
"Colombo","Colombo","Nugegoda","400","100.00"
"Colombo","Colombo","Pita Kotte","400","100.00"
"Colombo","Colombo","Rajagiriya","400","100.00"
"Colombo","Colombo","Sri Jayawardenepura Kotte","400","100.00"
"Colombo","Colombo","Talawatugoda","400","100.00"
"Colombo","Colombo","Wellampitiya","400","100.00"
"Colombo","Puttalam","Koswatta","400","100.00"
"Colombo","Colombo","Mirihana","400","100.00"
"Colombo","Colombo","Greater Colombo","400","100.00"
"Colombo","Colombo","Kolonnawa","400","100.00"
"Colombo","Colombo","Sri Jayawardanapura Kotte","400","100.00"
"Colombo","Colombo","Baththaramulla","400","100.00"
"Colombo","Colombo","Thalapathpitiya","400","100.00"
"Colombo","Puttalam","Koswaththa","400","100.00"
"Colombo","Colombo","Thaldiyawala","400","100.00"
"Colombo","Colombo","Gangodavila","400","100.00"
"Colombo","Colombo","Walpola","400","100.00"
"Colombo","Colombo","Himbutana","400","100.00"
"Colombo","Colombo","Arangala","400","100.00"
"Colombo","Colombo","Thalangama Koswaththa","400","100.00"
"Colombo","Colombo","Mulleriyawa","400","100.00"
